,Name,Material,Color,Price,Size,URL,Image,Brand_name,Description
59,The Billy | Unfaithfully Yours,"{'OCS Certified Organic Cotton': '17%', 'GRS Certified Recycled Cotton': '43%', 'Refibra ™ X Tencel ™ Lyocell': '40%'}",['unfaithfully yours'],"('USD', '168')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-billy-unfaithfully-yours,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish606755fdd53670606755fdd552b.40572614606755fdd552b.jpg?v=1617386537,Boyish Jeans,"['Your new classic. The Billy is a high waisted rigid skinny jean reminiscent of the most perfect hip hugging vintage denim in a medium blue eco wash with destruction and a raw hem. These upcycled jeans include GRS certified recycled cotton and REFIBRA™ Technology, reducing its carbon footprint and reducing water usage.\nREFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste jean will be your new favorite second skin.\nFront Rise: 11 1/4"" Inseam: 27"" Leg Opening: 11 1/2"" Button Fly']"
60,The Ricky | About Time,"{'OCS Certified Organic Cotton': '65%', 'Tencel ™ Lyocell': '34%', 'Recycled Elastane': '1%'}",['about time'],"('USD', '158')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-ricky-about-time,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish6099b18f4f53426099b18f4f741.162831326099b18f4f741.jpg?v=1620806298,Boyish Jeans,"['A little Boyish flare. The Ricky in About Time is a high waisted comfort stretch flare jean that will hug your body in all the right places. This jean comes in a medium eco wash with novelty buttons and a unique back pocket shape. Pair with the Porter denim shirt for the full Boyish look.\nThese upcycled jeans include OCS-certified organic cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 12""Inseam: 34""Leg Opening: 21 1/2""Button Fly']"
61,The Porter | Notorious,{'GOTS Certified Organic Cotton': '100%'},['notorious'],"('USD', '128')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-porter-notorious,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/20200820_Boyish_SP21-1813.jpg?v=1620806326,Boyish Jeans,"['Denim shirt classic with a romantic twist. The Porter in Notorious is a lightweight denim shirt with a unique puff-sleeve detail and clean front. This versatile top comes in a perfect medium blue eco wash and is made with 100% GOTS certified organic cotton, reducing its carbon footprint and reducing water usage.\nHigh Point Shoulder to Hem: 24 3/4""Chest: 38 1/2""Sweep: 41""']"
62,The Vincent | Gold Rush,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['gold rush'],"('USD', '188')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-vincent-gold-rush,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish6073a733f285516073a733f299b.766165876073a733f299b.jpg?v=1618192257,Boyish Jeans,"['The Vincent jumpsuit comes in a rich golden yellow eco wash with a slim fit, puff sleeve detail and tie to cinch the waist, perfect for errands or a night out. This upcycled jumpsuit includes OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nCenter Front Rise: 27""Inseam: 27""Leg Opening: 15 1/2""']"
63,The Joaquin | Golden Child,"{'Organic Cotton': '70%', 'GRS Certified Recycled Cotton': '30%'}",['golden child'],"('USD', '158')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-joaquin-golden-child,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish606750a857ec21606750a85806b.01655511606750a85806b.jpg?v=1617383878,Boyish Jeans,"['Versatile as a jacket or a dress, the Joaquin will be a staple in your closet for any season. This kimono-inspired style comes in a rich golden yellow wash with front patch pockets and a tie to cinch the waist. This upcycled piece includes recycled cotton, reducing its carbon footprint and reducing water usage.\nHigh Point Shoulder to Hem: 34""Sweep (Flat): 55""']"
64,The Timmy | Gold Rush,"{'OCS Certified Organic Cotton': '60%', 'Tencel ™ Lyocell': '40%'}",['gold rush'],"('USD', '188')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-timmy-gold-rush,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/20200820_Boyish_SP21-2817.jpg?v=1621363720,Boyish Jeans,"['Vintage details above all things. The Timmy in Gold Rush is a high waisted rigid straight leg jean with a novelty back yoke that brings a unique and distinct design. Our signature patch and rich golden yellow color are sure to make a statement. These upcycled jeans include OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 11 1/4""Inseam: 28""Leg Opening: 15""Button Fly']"
65,The Monty | City Lights,"{'OCS Certified Organic Cotton': '60%', 'Tencel ™ Lyocell': '40%'}",['city lights'],"('USD', '108')","['22', '23', '24', '25', '26', '27', '28', '29', '30', '31', '32']",https://www.boyish.com/products/the-monty-city-lights,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60b03d59bdc53460b03d59bdec7.3062250760b03d59bdec7.jpg?v=1622162913,Boyish Jeans,"['Your new go-to Spring to Summer short. The Monty comes in a dark indigo eco wash with a raw hem, subtle destruction and has a relaxed and flattering fit. These upcycled shorts include OCS Certified Organic Cotton and Tencel™ Lyocell, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact, reducing its carbon footprint and water usage.\nFront Rise: 11 1/2""Inseam: 4 3/4""Leg Opening: 23 1/4""Button Fly']"
66,The Bruno | Gilda,"{'OCS Certified Organic Cotton': '38%', 'GRS Certified Recycled Cotton': '31%', 'Refibra ™ X Tencel ™ Lyocell': '31%'}",['gilda'],"('USD', '188')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-bruno-gilda,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish60675371509fd66067537150ce8.867580366067537150ce8.jpg?v=1617384666,Boyish Jeans,"['Everyday versatile essential. The Bruno is inspired by your favorite vintage denim jacket. It\'s rigid and cropped with big patch pockets in a medium eco wash. This upcycled jacket includes GRS certified recycled cotton and REFIBRA™ Technology, reducing its carbon footprint and reducing water usage.\nREFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste jacket will be your new favorite second skin.\nHigh Point Shoulder to Hem: 17 1/4""Sweep: 33""']"
67,The Joaquin | Gilda,"{'OCS Certified Organic Cotton': '38%', 'GRS Certified Recycled Cotton': '31%', 'Refibra ™ X Tencel ™ Lyocell': '31%'}",['gilda'],"('USD', '158')","['XXS', 'XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-joaquin-gilda,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish5faee9c621e4955faee9c621f23.476395395faee9c621f23.jpg?v=1620806311,Boyish Jeans,"['Versatile as a jacket or a dress, the Joaquin will be a staple in your closet for any season. This kimono-inspired style comes in a perfect medium blue wash with front patch pockets and a tie to cinch the waist. This upcycled piece includes REFIBRA™ Technology, reducing its carbon footprint and reducing water usage.\nREFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste style will be your new favorite second skin.\nFront High-Point Shoulder: 34""Sweep (Flat): 55""']"
68,The Georgy | Black,"{'OCS Certified Organic Cotton': '60%', 'Refibra™ X Tencel ™ Lyocell': '40%'}",['black'],"('USD', '68')","['XS', 'S', 'M', 'L', 'XL']",https://www.boyish.com/products/the-georgy-black,https://cdn.shopify.com/s/files/1/0229/4949/4856/products/Boyish5faef3ef9eed645faef3ef9efd4.560669585faef3ef9efd4.jpg?v=1611280468,Boyish Jeans,"['The Georgy is a super soft jersey slim turtleneck tee with long sleeves, perfect for transitional weather and layering. This upcycled tee includes OCS Certified organic cotton and REFIBRA™ Technology, reducing its carbon footprint and reducing water usage. REFIBRA™ Technology takes fashion industry scraps and recycles the waste, which is then blended in with TENCEL™, a natural raw material from eucalyptus trees that is responsibly produced to minimize environmental impact. This zero waste tee will be your new favorite second skin.\nFront High Point Shoulder: 22""Sweep: 32""']"
