20211119zaraThckDrss07,tex_visc_36,Shell,100%
20211119zaraLthrSwtr07,tex_wool_40,Shell,100%
20211119zaraLthrSwtr07,lea_cow _42,Secondary fabric,100%
20211119zaraMnSkrt07,lea_cow _42,Shell,100%
20211119zaraMnSkrt07,tex_poly_25,Lining,97%
20211119zaraMnSkrt07,tex_elas_10,Lining,3%
20211119zaraLthrDrss07,lea_cow _42,Shell,100%
20211119zaraPlnBttnsSwtr07,tex_wool_40,Shell,100%
20211119zaraPtchwrkPnt07,tex_wool_40,Shell,99%
20211119zaraPtchwrkPnt07,tex_elas_10,Shell,1%
20211119zaraPtchwrkPnt07,tex_poly_25,Secondary fabric,69%
20211119zaraPtchwrkPnt07,tex_visc_36,Secondary fabric,30%
20211119zaraPtchwrkPnt07,tex_elas_10,Secondary fabric,1%
20211119zaraKntDrss07,tex_wool_40,Shell,40%
20211119zaraKntDrss07,tex_nylo_20,Shell,30%
20211119zaraKntDrss07,tex_lyoc_15,Shell,30%
20211119zaraBmbrJckt07,tex_poly_25,Shell,52%
20211119zaraBmbrJckt07,tex_nylo_20,Shell,48%
20211119zaraBmbrJckt07,tex_poly_25,Details,98%
20211119zaraBmbrJckt07,tex_elas_10,Details,2%
20211119zaraBmbrJckt07,tex_nylo_20,Lining,100%
20211119zaraLngSlv/Bs07,tex_visc_36,Shell,85%
20211119zaraLngSlv/Bs07,tex_wool_40,Shell,15%
20211119zaraHltrTp07,tex_poly_25,Shell,100%
20211119zaraWlCngr07,tex_poly_25,Shell,65%
20211119zaraWlCngr07,tex_wool_40,Shell,32%
20211119zaraWlCngr07,tex_acry_1,Shell,2%
20211119zaraWlCngr07,tex_nylo_20,Shell,1%
20211119zaraWlCngr07,tex_poly_25,Lining,100%
20211119zaraLthrSkrt07,tex_wool_40,Shell,76%
20211119zaraLthrSkrt07,tex_visc_36,Shell,22%
20211119zaraLthrSkrt07,tex_elas_10,Shell,2%
20211119zaraLthrSkrt07,lea_cow _42,Secondary fabric,100%
20211119zaraLthrSkrt07,tex_visc_36,Lining,100%
20211119zaraHltrDrss07,tex_poly_25,Shell,100%
20211119zaraCttnSkrt07,tex_cott_6,Shell,100%
20211119zaraOvrPnt07,tex_poly_25,Shell,55%
20211119zaraOvrPnt07,tex_wool_40,Shell,45%
20211119zaraOvrPnt07,tex_visc_36,Lining,55%
20211119zaraOvrPnt07,tex_visc_36,Lining,45%
20211119zaraTnk07,tex_cott_6,All,Care
20211119zaraTnk07,tex_cott_6,Shell,96%
20211119zaraTnk07,tex_elas_10,Shell,4%
20211119zaraBlsBndlrPlSrpls,lea_cow _42,Shell,100%
20211119zaraBlsBndlrPlSrpls,tex_poly_25,Lining,100%
20211119zaraBtPlCñCdnSrpls,lea_cow _42,Upper,100%
20211119zaraBtPlCñCdnSrpls,lea_cow _42,Lining,90%
20211119zaraBtPlCñCdnSrpls,tex_poly_25,Lining,10%
20211119zaraBtPlCñCdnSrpls,rub_typi_96,Sole,100%
20211119zaraBtPlCñCdnSrpls,lea_cow _42,Lining and Insole,100%
20211119zaraBtnTcnPlSrpls,lea_cow _42,Upper,100%
20211119zaraBtnTcnPlSrpls,other,Lining,60%
20211119zaraBtnTcnPlSrpls,lea_cow _42,Lining,30%
20211119zaraBtnTcnPlSrpls,tex_poly_25,Lining,10%
20211119zaraBtnTcnPlSrpls,rub_typi_96,Sole,100%
20211119zaraBtnTcnPlSrpls,lea_cow _42,Lining and Insole,100%
20211119zaraBtnPlHbllsSrpls,lea_cow _42,Upper,100%
20211119zaraBtnPlHbllsSrpls,lea_cow _42,Lining,67%
20211119zaraBtnPlHbllsSrpls,tex_cott_6,Lining,24%
20211119zaraBtnPlHbllsSrpls,tex_nylo_20,Lining,9%
20211119zaraBtnPlHbllsSrpls,lea_cow _42,Sole,85%
20211119zaraBtnPlHbllsSrpls,tex_poly_28,Sole,15%
20211119zaraBtnPlHbllsSrpls,lea_cow _42,Lining and Insole,100%
20211119zaraLowHeelBuckledLeatherAnkleBootsSrpls,lea_cow _42,Upper,100%
20211119zaraLowHeelBuckledLeatherAnkleBootsSrpls,lea_cow _42,Lining,90%
20211119zaraLowHeelBuckledLeatherAnkleBootsSrpls,tex_poly_25,Lining,10%
20211119zaraLowHeelBuckledLeatherAnkleBootsSrpls,tex_poly_33,Sole,100%
20211119zaraLowHeelBuckledLeatherAnkleBootsSrpls,lea_cow _42,Lining and Insole,100%
20211119zaraLowHeelBuckledLeatherAnkleBootsSrpls,lea_cow _42,Tongue,100%
20211119zaraCblsJckt07,tex_acry_1,Shell,72%
20211119zaraCblsJckt07,tex_wool_40,Shell,20%
20211119zaraCblsJckt07,tex_nylo_20,Shell,8%
