,Name,Material,Color,Price,URL,Image,Brand_name,Description,Category
43,Red Line 2R Wool Coat,{'Recycled Wool': '100%'},multi,"('AUD', '1,300')",https://abch.world/products/redline-2r-wool-coat-recycled,https://cdn.shopify.com/s/files/1/1637/8509/products/ABCH-Look-10-TS2020-Detail2.jpg?v=1584265645,portrait-large,"['The 2R Wool Coat is made entirely in-house at the A.BCH studio by our team of designers and tailors. While replacement linings can be purchased, the woollen outershell is one of a kind. We cut the pieces with zero waste, they are then constructed in-house by our tailors before being trimmed and pressed.']",['2r wool coat']
44,Long Linen Skirt,{'Organic Linen': '100%'},black,"('AUD', '255')",https://abch.world/products/long-linen-skirt-organic-linen,https://cdn.shopify.com/s/files/1/1637/8509/products/A31-Linen-Skirt-Front-2SML.jpg?v=1601514268,A.BCH,"[""Elongating linen skirt with elastic waist (we could stop here, but we won't). Complementary to many shapes and sizes, this skirt is made from organic medium-weight linen and is pocket-free to reduce bulk. Beautifully long splits give it a dressy edge, or room to move through your everyday.""]",['skirt']
45,Super Crop T-shirt,{'Australian Cotton': '100%'},black,"('AUD', '95')",https://abch.world/products/super-crop-tshirt-australian-supply-chain-cotton,https://cdn.shopify.com/s/files/1/1637/8509/products/A10_Olive_A30_Black-Tshirt-FrontSML.jpg?v=1601514359,A.BCH,"['The ASC Super Crop T-Shirt is a lush double jersey with a longer back, extra cropped front and gathered long side ties which can be worn out and down, wrapped around the body or tied loosely in front. The fabric is unique with a fully Australian supply chain from cultivation to construction.']",['t-shirt']
46,Relaxed Hemp Shorts,{'Hemp': '100%'},ivory,"('AUD', '360')",https://abch.world/products/relaxed-hemp-shorts-cream,https://cdn.shopify.com/s/files/1/1637/8509/products/A27-Tailored-Tshirt-Front-2.jpg?v=1607925935,portrait-large,"['Soft and buttery with a luxe weight and drape, these relaxed shorts are a flattering length with a soft bio-elastic waist, deep pockets and bound raw hems.']",['shorts']
47,Relaxed Hemp Jacket,{'Hemp': '100%'},ivory,"('AUD', '645')",https://abch.world/products/relaxed-hemp-jacket-cream,https://cdn.shopify.com/s/files/1/1637/8509/products/A29-Hemp-Panel-Jacket-Side.jpg?v=1611366970,portrait-large,"[""Melt into this relaxed panelled hemp jacket. Fancy enough to throw over a dress and comfy enough to wear every day. Crafted from 100% hemp with natural, un-dyed corozo buttons and a soft oversized collar. It's all in the details, like the raw hemmed cuffs and top-stitching throughout.Worn with the A.28 Shorts.""]",['jacket']
48,Long Sleeve Linen Shirt,{'Organic Linen': '100%'},black,"('AUD', '275')",https://abch.world/products/a-04,https://cdn.shopify.com/s/files/1/1637/8509/products/A04-Mens-Black-Long-Linen-Shirt-Front-2-crop.jpg?v=1601187801,portrait-large,"['A modern linen shirt that looks good on everyone. Long sleeves, smart collar and finished with beautiful corozo buttons and optional chest pockets. The A.04 is made with our black GOTS certified organic linen and is delightfully soft to touch. Fit is true to size with a generous hem length for optimal comfort + coverage.']",['shirt']
49,Tailored T-shirt,{'Hemp / Organic Cotton': '100%'},ivory,"('AUD', '85')",https://abch.world/products/undyed-tailored-t-shirt-hemp,https://cdn.shopify.com/s/files/1/1637/8509/products/A28-Hemp-Shorts-Front-Detail.jpg?v=1601514915,A.BCH,"['Limited edition hemp + organic cotton blended t-shirt. More tailored than previous styles, this slightly cropped gem is a little bit dressy with a gorgeous slubby texture. The fabric has been whitened to a beautiful ivory colour, and is un-dyed and ready to be worn in all its natural glory, or dyed at home to your liking (try turmeric or natural indigo). ']",['t-shirt']
50,Short Sleeve Linen Shirt,{'Organic Linen': '100%'},black,"('AUD', '255')",https://abch.world/products/black-organic-linen-button-up-shirt,https://cdn.shopify.com/s/files/1/1637/8509/products/A04-Black-Linen-Shirt-SS-Front.jpg?v=1601187652,A.BCH,"['A modern collared linen shirt, perfect for the warmer moments in your life. Finished with beautiful corozo buttons and optional chest pockets. The A.04 is made with our black GOTS certified organic linen and is delightfully soft to touch. Fit is true to size with a generous hem length for optimal comfort + coverage.']",['shirt']
51,Short Sleeve Linen Shirt,{'Organic Linen': '100%'},white,"('AUD', '255')",https://abch.world/products/short-sleeve-organic-linen-button-up-shirt,https://cdn.shopify.com/s/files/1/1637/8509/products/A04-White-Linen-SS-Shirt-Back-2.jpg?v=1601187598,A.BCH,['A modern collared linen shirt for the warmer moments in your life. Finished with our beautiful tonal corozo buttons and optional chest pockets. The A.04 is made with our classic white GOTS certified organic linen and is delightfully soft to touch. Fit is true to size with a generous hem length for optimal comfort + coverage.'],['shirt']
52,Palazzo Trousers,{'Linen': '100%'},olive,"('AUD', '275')",https://abch.world/products/linen-palazzo-trousers-olive,https://cdn.shopify.com/s/files/1/1637/8509/products/A10-Green-Long-Linen-Trouser-Front-crop.jpg?v=1601549770,A.BCH,"[""A crowd favourite now in Olive, the A.10 trousers compliment many shapes and sizes. Constructed from a medium-weight linen, these wide-leg trousers with their elastic waist are basically the perfect brunch pant. The long, unattached belt allows for a variety of styling options. Pull 'em up high and cinch the belt below for a paper bag look, wrap the belt around for a more tailored style, wear the belt loose or freestyle without it. The pockets on these guys are almost as deep as our love for them.""]",['trousers']
