high_level,low_level,part,component_significance,component_value_percentage
bag,Handbag,Obverse,Secondary,50%
bag,Handbag,Secondary fabric,Tertiary,10%
bag,Travel Bag,Padding,Tertiary,20%
bag,Travel Bag,Shell,Main,100%
bag,Travel Bag,Coating,Tertiary,5%
bag,Travel Bag,Details,Tertiary,10%
bag,Travel Bag,Upper,Secondary,50%
bag,Travel Bag,Lining,Tertiary,30%
bag,Travel Bag,Vest Shell,Tertiary,0%
bag,Travel Bag,All,Main,100%
bag,Travel Bag,Reverse,Secondary,50%
bag,Travel Bag,Strap,Tertiary,10%
bag,Travel Bag,Obverse,Secondary,50%
bag,Travel Bag,Secondary fabric,Tertiary,10%
bag,Crossbody Bag,Padding,Tertiary,20%
bag,Crossbody Bag,Shell,Main,100%
bag,Crossbody Bag,Coating,Tertiary,5%
bag,Crossbody Bag,Details,Tertiary,10%
bag,Crossbody Bag,Upper,Secondary,50%
bag,Crossbody Bag,Lining,Tertiary,30%
bag,Crossbody Bag,Vest Shell,Tertiary,0%
bag,Crossbody Bag,All,Main,100%
bag,Crossbody Bag,Reverse,Secondary,50%
bag,Crossbody Bag,Strap,Tertiary,15%
bag,Crossbody Bag,Obverse,Secondary,50%
bag,Crossbody Bag,Secondary fabric,Tertiary,10%
bag,Shoulder Bag,Padding,Tertiary,20%
bag,Shoulder Bag,Shell,Main,100%
bag,Shoulder Bag,Coating,Tertiary,5%
bag,Shoulder Bag,Details,Tertiary,10%
bag,Shoulder Bag,Upper,Secondary,50%
bag,Shoulder Bag,Lining,Tertiary,30%
bag,Shoulder Bag,Vest Shell,Tertiary,0%
bag,Shoulder Bag,All,Main,100%
bag,Shoulder Bag,Reverse,Secondary,50%
bag,Shoulder Bag,Strap,Tertiary,15%
bag,Shoulder Bag,Obverse,Secondary,50%
bag,Shoulder Bag,Secondary fabric,Tertiary,10%
bag,Mini Bag,Padding,Tertiary,20%
bag,Mini Bag,Shell,Main,100%
bag,Mini Bag,Coating,Tertiary,5%
bag,Mini Bag,Details,Tertiary,10%
bag,Mini Bag,Upper,Secondary,50%
bag,Mini Bag,Lining,Tertiary,30%
bag,Mini Bag,Vest Shell,Tertiary,0%
bag,Mini Bag,All,Main,100%
bag,Mini Bag,Reverse,Secondary,50%
bag,Mini Bag,Strap,Tertiary,15%
bag,Mini Bag,Obverse,Secondary,50%
bag,Mini Bag,Secondary fabric,Tertiary,10%
bag,Bucket Bag,Padding,Tertiary,20%
bag,Bucket Bag,Shell,Main,100%
bag,Bucket Bag,Coating,Tertiary,5%
bag,Bucket Bag,Details,Tertiary,10%
bag,Bucket Bag,Upper,Secondary,50%
bag,Bucket Bag,Lining,Tertiary,30%
bag,Bucket Bag,Vest Shell,Tertiary,0%
bag,Bucket Bag,All,Main,100%
bag,Bucket Bag,Reverse,Secondary,50%
bag,Bucket Bag,Strap,Tertiary,15%
bag,Bucket Bag,Obverse,Secondary,50%
bag,Bucket Bag,Secondary fabric,Tertiary,10%
bag,Tote Bag,Padding,Tertiary,20%
bag,Tote Bag,Shell,Main,100%
bag,Tote Bag,Coating,Tertiary,5%
bag,Tote Bag,Details,Tertiary,10%
bag,Tote Bag,Upper,Secondary,50%
bag,Tote Bag,Lining,Tertiary,30%
bag,Tote Bag,Vest Shell,Tertiary,0%
bag,Tote Bag,All,Main,100%
bag,Tote Bag,Reverse,Secondary,50%
bag,Tote Bag,Strap,Tertiary,10%
bag,Tote Bag,Obverse,Secondary,50%
bag,Tote Bag,Secondary fabric,Tertiary,10%
shoes,Sneakers,Lining and Insole,Tertiary,20%
shoes,Sneakers,Sole,Secondary,50%
shoes,Sneakers,Upper,Secondary,50%
shoes,Sneakers,Faux Fur,Tertiary,10%
shoes,Sneakers,Shell,Main,100%
shoes,Sneakers,Sock,Secondary,50%
shoes,Sneakers,Lining,Tertiary,20%
shoes,Sneakers,Mesh,Tertiary,20%
shoes,Sneakers,All,Main,100%
shoes,Sneakers,Tongue,Tertiary,15%
shoes,Sneakers,Reverse,Secondary,50%
shoes,Sneakers,Strap,Tertiary,5%
shoes,Sneakers,Obverse,Secondary,50%
shoes,Sneakers,Secondary fabric,Tertiary,10%
shoes,Boots,Lining and Insole,Tertiary,20%
shoes,Boots,Sole,Secondary,40%
shoes,Boots,Upper,Secondary,60%
shoes,Boots,Faux Fur,Tertiary,10%
shoes,Boots,Shell,Main,100%
shoes,Boots,Sock,Secondary,60%
shoes,Boots,Lining,Tertiary,20%
shoes,Boots,Mesh,Tertiary,20%
shoes,Boots,All,Main,100%
shoes,Boots,Tongue,Tertiary,15%
shoes,Boots,Reverse,Secondary,50%
shoes,Boots,Strap,Tertiary,5%
shoes,Boots,Obverse,Secondary,50%
shoes,Boots,Secondary fabric,Tertiary,10%
shoes,Sandals,Lining and Insole,Tertiary,20%
shoes,Sandals,Sole,Secondary,60%
shoes,Sandals,Upper,Secondary,40%
shoes,Sandals,Faux Fur,Tertiary,10%
shoes,Sandals,Shell,Main,100%
shoes,Sandals,Sock,Secondary,40%
shoes,Sandals,Lining,Tertiary,20%
shoes,Sandals,Mesh,Tertiary,20%
shoes,Sandals,All,Main,100%
shoes,Sandals,Tongue,Tertiary,15%
shoes,Sandals,Reverse,Secondary,50%
shoes,Sandals,Strap,Tertiary,25%
shoes,Sandals,Obverse,Secondary,50%
shoes,Sandals,Secondary fabric,Tertiary,10%
shoes,Heels,Lining and Insole,Tertiary,20%
shoes,Heels,Sole,Secondary,50%
shoes,Heels,Upper,Secondary,50%
shoes,Heels,Faux Fur,Tertiary,10%
shoes,Heels,Shell,Main,100%
shoes,Heels,Sock,Secondary,50%
shoes,Heels,Lining,Tertiary,20%
shoes,Heels,Mesh,Tertiary,20%
shoes,Heels,All,Main,100%
shoes,Heels,Tongue,Tertiary,15%
shoes,Heels,Reverse,Secondary,50%
shoes,Heels,Strap,Tertiary,25%
shoes,Heels,Obverse,Secondary,50%
shoes,Heels,Secondary fabric,Tertiary,10%
shoes,Wedge Heels,Lining and Insole,Tertiary,20%
shoes,Wedge Heels,Sole,Secondary,60%
shoes,Wedge Heels,Upper,Secondary,40%
shoes,Wedge Heels,Faux Fur,Tertiary,10%
shoes,Wedge Heels,Shell,Main,100%
shoes,Wedge Heels,Sock,Secondary,40%
shoes,Wedge Heels,Lining,Tertiary,20%
shoes,Wedge Heels,Mesh,Tertiary,20%
shoes,Wedge Heels,All,Main,100%
shoes,Wedge Heels,Tongue,Tertiary,15%
shoes,Wedge Heels,Reverse,Secondary,50%
shoes,Wedge Heels,Strap,Tertiary,20%
shoes,Wedge Heels,Obverse,Secondary,50%
shoes,Wedge Heels,Secondary fabric,Tertiary,10%
shoes,Flat Shoes,Lining and Insole,Tertiary,20%
shoes,Flat Shoes,Sole,Secondary,50%
shoes,Flat Shoes,Upper,Secondary,50%
shoes,Flat Shoes,Faux Fur,Tertiary,10%
shoes,Flat Shoes,Shell,Main,100%
shoes,Flat Shoes,Sock,Secondary,50%
shoes,Flat Shoes,Lining,Tertiary,20%
shoes,Flat Shoes,Mesh,Tertiary,20%
shoes,Flat Shoes,All,Main,100%
shoes,Flat Shoes,Tongue,Tertiary,15%
shoes,Flat Shoes,Reverse,Secondary,50%
shoes,Flat Shoes,Strap,Tertiary,5%
shoes,Flat Shoes,Obverse,Secondary,50%
shoes,Flat Shoes,Secondary fabric,Tertiary,10%
shoes,Clog Shoes,Lining and Insole,Tertiary,20%
shoes,Clog Shoes,Sole,Secondary,60%
shoes,Clog Shoes,Upper,Secondary,40%
shoes,Clog Shoes,Faux Fur,Tertiary,10%
shoes,Clog Shoes,Shell,Main,100%
shoes,Clog Shoes,Sock,Secondary,40%
shoes,Clog Shoes,Lining,Tertiary,20%
shoes,Clog Shoes,Mesh,Tertiary,20%
shoes,Clog Shoes,All,Main,100%
shoes,Clog Shoes,Tongue,Tertiary,15%
shoes,Clog Shoes,Reverse,Secondary,50%
shoes,Clog Shoes,Strap,Tertiary,0%
shoes,Clog Shoes,Obverse,Secondary,50%
shoes,Clog Shoes,Secondary fabric,Tertiary,10%
accessories,Belts,Container,Tertiary,0%
accessories,Belts,Other,Tertiary,5%
accessories,Belts,Padding,Tertiary,10%
accessories,Belts,Shell,Main,100%
accessories,Belts,Coating,Tertiary,5%
accessories,Belts,Details,Tertiary,10%
accessories,Belts,Lens,Secondary,0%
accessories,Belts,Frame,Secondary,0%
accessories,Belts,Elastic Section,Tertiary,20%
accessories,Belts,Palm,Tertiary,0%
accessories,Belts,Lining,Tertiary,20%
accessories,Belts,All,Main,100%
accessories,Belts,Reverse,Secondary,50%
accessories,Belts,Strap,Main,100%
accessories,Belts,Obverse,Secondary,50%
accessories,Belts,Secondary fabric,Tertiary,10%
accessories,Wallets,Container,Tertiary,0%
accessories,Wallets,Other,Tertiary,5%
accessories,Wallets,Padding,Tertiary,10%
accessories,Wallets,Shell,Main,100%
accessories,Wallets,Coating,Tertiary,5%
accessories,Wallets,Details,Tertiary,10%
accessories,Wallets,Lens,Secondary,0%
accessories,Wallets,Frame,Tertiary,10%
accessories,Wallets,Elastic Section,Tertiary,5%
accessories,Wallets,Palm,Tertiary,0%
accessories,Wallets,Lining,Tertiary,20%
accessories,Wallets,All,Main,100%
accessories,Wallets,Reverse,Secondary,50%
accessories,Wallets,Strap,Tertiary,10%
accessories,Wallets,Obverse,Secondary,50%
accessories,Wallets,Secondary fabric,Tertiary,10%
accessories,Suspenders,Container,Tertiary,0%
accessories,Suspenders,Other,Tertiary,5%
accessories,Suspenders,Padding,Tertiary,0%
accessories,Suspenders,Shell,Main,100%
accessories,Suspenders,Coating,Tertiary,5%
accessories,Suspenders,Details,Tertiary,10%
accessories,Suspenders,Lens,Tertiary,0%
accessories,Suspenders,Frame,Tertiary,0%
accessories,Suspenders,Elastic Section,Secondary,70%
accessories,Suspenders,Palm,Tertiary,0%
accessories,Suspenders,Lining,Tertiary,20%
accessories,Suspenders,All,Main,100%
accessories,Suspenders,Reverse,Secondary,50%
accessories,Suspenders,Strap,Main,100%
accessories,Suspenders,Obverse,Secondary,50%
accessories,Suspenders,Secondary fabric,Tertiary,10%
accessories,Gloves,Container,Tertiary,0%
accessories,Gloves,Other,Tertiary,5%
accessories,Gloves,Padding,Tertiary,20%
accessories,Gloves,Shell,Main,100%
accessories,Gloves,Coating,Tertiary,5%
accessories,Gloves,Details,Tertiary,10%
accessories,Gloves,Lens,Tertiary,0%
accessories,Gloves,Frame,Tertiary,0%
accessories,Gloves,Elastic Section,Tertiary,15%
accessories,Gloves,Palm,Tertiary,20%
accessories,Gloves,Lining,Tertiary,30%
accessories,Gloves,All,Main,100%
accessories,Gloves,Reverse,Secondary,50%
accessories,Gloves,Strap,Tertiary,10%
accessories,Gloves,Obverse,Secondary,50%
accessories,Gloves,Secondary fabric,Tertiary,10%
accessories,Scarves,Container,Tertiary,0%
accessories,Scarves,Other,Tertiary,5%
accessories,Scarves,Padding,Tertiary,20%
accessories,Scarves,Shell,Main,100%
accessories,Scarves,Coating,Tertiary,5%
accessories,Scarves,Details,Tertiary,10%
accessories,Scarves,Lens,Tertiary,0%
accessories,Scarves,Frame,Tertiary,0%
accessories,Scarves,Elastic Section,Tertiary,10%
accessories,Scarves,Palm,Tertiary,20%
accessories,Scarves,Lining,Tertiary,30%
accessories,Scarves,All,Main,100%
accessories,Scarves,Reverse,Secondary,50%
accessories,Scarves,Strap,Tertiary,0%
accessories,Scarves,Obverse,Secondary,50%
accessories,Scarves,Secondary fabric,Tertiary,10%
accessories,Jewelry,Embroidery,Tertiary,10%
accessories,Jewelry,Container,Tertiary,0%
accessories,Jewelry,Other,Tertiary,5%
accessories,Jewelry,Padding,Tertiary,0%
accessories,Jewelry,Shell,Main,100%
accessories,Jewelry,Coating,Tertiary,5%
accessories,Jewelry,Details,Tertiary,10%
accessories,Jewelry,Lens,Tertiary,0%
accessories,Jewelry,Frame,Tertiary,0%
accessories,Jewelry,Elastic Section,Tertiary,10%
accessories,Jewelry,Palm,Tertiary,0%
accessories,Jewelry,Lining,Tertiary,30%
accessories,Jewelry,All,Main,100%
accessories,Jewelry,Reverse,Secondary,50%
accessories,Jewelry,Strap,Tertiary,0%
accessories,Jewelry,Obverse,Secondary,50%
accessories,Jewelry,Secondary fabric,Tertiary,10%
accessories,Glasses/Sunglasses,Container,Tertiary,0%
accessories,Glasses/Sunglasses,Other,Tertiary,5%
accessories,Glasses/Sunglasses,Padding,Tertiary,0%
accessories,Glasses/Sunglasses,Shell,Main,100%
accessories,Glasses/Sunglasses,Coating,Tertiary,10%
accessories,Glasses/Sunglasses,Details,Tertiary,10%
accessories,Glasses/Sunglasses,Lens,Secondary,50%
accessories,Glasses/Sunglasses,Frame,Secondary,50%
accessories,Glasses/Sunglasses,Elastic Section,Tertiary,0%
accessories,Glasses/Sunglasses,Palm,Tertiary,0%
accessories,Glasses/Sunglasses,Lining,Tertiary,0%
accessories,Glasses/Sunglasses,All,Main,100%
accessories,Glasses/Sunglasses,Reverse,Secondary,50%
accessories,Glasses/Sunglasses,Strap,Tertiary,15%
accessories,Glasses/Sunglasses,Obverse,Secondary,50%
accessories,Glasses/Sunglasses,Secondary fabric,Tertiary,10%
accessories,Hair Accessories,All,Main,100%
accessories,Hair Accessories,Front,Secondary,50%
accessories,Hair Accessories,Back,Secondary,50%
accessories,Hair Accessories,Container,Tertiary,0%
accessories,Hair Accessories,Other,Tertiary,5%
accessories,Hair Accessories,Padding,Tertiary,0%
accessories,Hair Accessories,Shell,Main,100%
accessories,Hair Accessories,Coating,Tertiary,10%
accessories,Hair Accessories,Details,Tertiary,10%
accessories,Hair Accessories,Lens,Tertiary,0%
accessories,Hair Accessories,Frame,Tertiary,0%
accessories,Hair Accessories,Elastic Section,Tertiary,15%
accessories,Hair Accessories,Palm,Tertiary,0%
accessories,Hair Accessories,Lining,Tertiary,30%
accessories,Hair Accessories,Reverse,Secondary,50%
accessories,Hair Accessories,Strap,Tertiary,15%
accessories,Hair Accessories,Obverse,Secondary,50%
accessories,Hair Accessories,Secondary fabric,Tertiary,10%
pajamas,Pajamas,Upper,Secondary,50%
pajamas,Pajamas,Shell,Main,100%
pajamas,Pajamas,Lace,Tertiary,30%
pajamas,Pajamas,Elastic Section,Tertiary,10%
pajamas,Pajamas,Lower,Secondary,50%
pajamas,Pajamas,All,Main,100%
pajamas,Pajamas,Reverse,Secondary,50%
pajamas,Pajamas,Strap,Tertiary,0%
pajamas,Pajamas,Obverse,Secondary,50%
pajamas,Pajamas,Secondary fabric,Tertiary,10%
pajamas,Nightgown,Upper,Secondary,50%
pajamas,Nightgown,Shell,Main,100%
pajamas,Nightgown,Lace,Tertiary,30%
pajamas,Nightgown,Elastic Section,Tertiary,10%
pajamas,Nightgown,Lower,Secondary,50%
pajamas,Nightgown,All,Main,100%
pajamas,Nightgown,Reverse,Secondary,50%
pajamas,Nightgown,Strap,Tertiary,0%
pajamas,Nightgown,Obverse,Secondary,50%
pajamas,Nightgown,Secondary fabric,Tertiary,10%
