,Unnamed: 0,index,Name,Price,URL,Colors,Image,Materials,Description,Brand_name,high-level,category
10,10,10,KATMANDU JACKET MAN,£439.90,https://ecoalf.com/en/jackets-and-coats/2020158-19703-katmandu-jacket-man#/1-talla-s,"['asphalt', 'black']",https://ecoalf.com/16065-large_default/katmandu-jacket-man.jpg,"['49% Polyester ', ' 17% S. Café recycled polyester ', ' 17% Recycled polyester / 17% PU']","Detachable 3-in-1 men’s jacket. Water repellent, waterproof, breathable and with odour control. Zip closure, adjustable hood and side pockets with zip closure.",Ecoalf,5,11
11,11,11,LIVORNO COAT MAN,£399.91,https://ecoalf.com/en/jackets-and-coats/2020165-19743-livorno-coat-man#/4-talla-xs,"['deepnavy', 'black']",https://ecoalf.com/16690-large_default/livorno-coat-man.jpg,"['59% Recycled polyester ', ' 41% Sorona®']","3/4 coat with numerous pockets, two-way zip closure and hood.",Ecoalf,5,11
12,12,12,ROLLE JACKET,£199.90,https://ecoalf.com/en/jackets-and-coats/2020192-19892-rolle-jacket#/1-talla-s,"['dustyolive', 'deepnavy', 'plaincamouflage']",https://ecoalf.com/16331-large_default/rolle-jacket.jpg,['100% Recycled polyester'],"Men’s jacket with padded style, high neck, zip closure and side pockets with zip. Made with recycled plastic bottles.",Ecoalf,5,11
13,13,13,ALPINE CARGO TROUSERS MAN,£109.90,https://ecoalf.com/en/pants/2020262-20272-alpine-cargo-trousers-man#/37-talla-28,"['sand', 'khaki', 'navy', 'caviar']",https://ecoalf.com/16409-large_default/alpine-cargo-trousers-man.jpg,"['97% Organic Cotton ', ' 3% Elastane']",Alpine trousers have many pockets and are made of organic cotton and elastane.,Ecoalf,3,6
14,14,14,CARROT PANTS MAN,£109.90,https://ecoalf.com/en/pants/2020272-20350-carrot-pants-man#/37-talla-28,['navy'],https://ecoalf.com/16104-large_default/carrot-pants-man.jpg,"['62% Recycled polyester ', ' 34% Viscose ', ' 4% Elastane']","Trousers with pockets, zip closure and button.",Ecoalf,3,6
15,15,15,OSLO PANTS MAN,£109.90,https://ecoalf.com/en/pants/2020274-20368-oslo-pants-man#/37-talla-28,"['sand', 'caviar']",https://ecoalf.com/15974-large_default/oslo-pants-man.jpg,"['55% Hemp ', ' 45% Organic cotton']","Pleated trousers with pockets, zip closure and button.",Ecoalf,3,6
16,16,16,GOTHAM SHIRT MAN,£99.90,https://ecoalf.com/en/shirts/2020303-20531-gotham-shirt-man#/1-talla-s,"['white', 'khaki', 'koreangreen', 'lavander']",https://ecoalf.com/16121-large_default/gotham-shirt-man.jpg,['100% Organic cotton'],Long-sleeved buttoned shirt 100% made of organic cotton.,Ecoalf,1,1
17,17,17,PANA SHIRT MAN,£109.90,https://ecoalf.com/en/shirts/2020311-20571-pana-shirt-man#/1-talla-s,"['offwhite', 'navy']",https://ecoalf.com/15984-large_default/pana-shirt-man.jpg,['100% Cotton'],"Men’s pana shirt, with long sleeves and button closure. 100% made with cotton from responsible sources.",Ecoalf,1,1
18,18,18,GREAT B SWEATSHIRT MAN,£89.90,https://ecoalf.com/en/sweaters/2020335-20699-great-b-sweatshirt-man#/4-talla-xs,"['lavander', 'navy', 'red']",https://ecoalf.com/16157-large_default/great-b-sweatshirt-man.jpg,"['50% Recycled Cotton ', ' 50% Organic Cotton']","Men’s sweatshirt with crew neck and text ""Because there is no Planet B” on the front. Made with organic cotton and recycled cotton.",Ecoalf,1,1
19,19,19,MANDIORE SWEATSHIRT MAN,£109.90,https://ecoalf.com/en/sweaters/2020343-20744-mandiore-sweatshirt-man#/4-talla-xs,"['lavander', 'caviar']",https://ecoalf.com/16246-large_default/mandiore-sweatshirt-man.jpg,"['50% Recycled Cotton ', ' 50% Organic Cotton']",Sweatshirt with hood and kangaroo-style pocket. Made with recycled cotton and organic cotton.,Ecoalf,1,1
