Name,Material,Color,Size,Price,URL,Image,Brand_name,Description
TRIANGLE RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-rust,"https://static.wixstatic.com/media/6733fb_c05f62c0a9744a7f9a49ac2a141898ca~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_c05f62c0a9744a7f9a49ac2a141898ca~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large']",€49.00,https://www.consciousthelabel.com/product-page/nala-rust,"https://static.wixstatic.com/media/6733fb_365e31e1094c4f57b9dd151b88cd4cde~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_365e31e1094c4f57b9dd151b88cd4cde~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   
NOAH RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large']",€52.00,https://www.consciousthelabel.com/product-page/noah-rust,"https://static.wixstatic.com/media/6733fb_b8cbd9d5212849d2826dd6c2ec4c1382~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b8cbd9d5212849d2826dd6c2ec4c1382~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size smallModel 2 wears a size medium "
SAINT RUST,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€55.00,https://www.consciousthelabel.com/product-page/saint-rust,"https://static.wixstatic.com/media/6733fb_b34eab61a8af43f8aba426cab41f1192~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b34eab61a8af43f8aba426cab41f1192~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
DIXIE RUST,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€55.00,https://www.consciousthelabel.com/product-page/dixie-rust,"https://static.wixstatic.com/media/6733fb_cb01bd5ac6e34309af93132e1c13653e~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_cb01bd5ac6e34309af93132e1c13653e~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size small "
RUST SWIMSUIT,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€120.00,https://www.consciousthelabel.com/product-page/rust-swimsuit,"https://static.wixstatic.com/media/6733fb_525c2a8a967f4fedacefd9c62e105e3b~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_525c2a8a967f4fedacefd9c62e105e3b~mv2.jpg",conscious-swimwear,The rust swimsuit was designed to hug your body like no other: it will keep everything in place with its shaping effect. Adjustable straps. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   
KAYA BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€59.00,https://www.consciousthelabel.com/product-page/kaya-brown-leopard,"https://static.wixstatic.com/media/6733fb_78ab6fc4ab4b49d88ddf98633a7c8d79~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_78ab6fc4ab4b49d88ddf98633a7c8d79~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
OLLIE BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€65.00,https://www.consciousthelabel.com/product-page/ollie-brown-leopard,"https://static.wixstatic.com/media/6733fb_0511a523e5984356be51e3e9f03bf314~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_0511a523e5984356be51e3e9f03bf314~mv2.jpg",conscious-swimwear,"Ollie is our newest addiction. It works perfectly for small and more significant breasts: for small, use it with our padding and have an additional push-up. If you have it bigger, enjoy the extra support from the elastic underneath and the natural lifting effect. This top has adjustable straps and includes removable padding. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.     "
ZOE BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/zoe-brown-leopard,"https://static.wixstatic.com/media/6733fb_74980f08c7e54ff3abe112ed9c63cf3e~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_74980f08c7e54ff3abe112ed9c63cf3e~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
TRIANGLE BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-brown-leopard,"https://static.wixstatic.com/media/6733fb_a2436fa6c3b6408eaee28b15acf8bd53~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_a2436fa6c3b6408eaee28b15acf8bd53~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€49.00,https://www.consciousthelabel.com/product-page/nala-leopard,"https://static.wixstatic.com/media/6733fb_19104f003f4f43b2b346579fa6db514a~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_19104f003f4f43b2b346579fa6db514a~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size smallModel 2 wears a size medium 
NOAH BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large']",€52.00,https://www.consciousthelabel.com/product-page/noah-brown-leopard,"https://static.wixstatic.com/media/6733fb_b2043e19a2ac41a6bb8071f4b1e49129~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_b2043e19a2ac41a6bb8071f4b1e49129~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
SAINT BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/saint-brown-leopard,"https://static.wixstatic.com/media/6733fb_83c497bf575e42de84a5af6d7ddce746~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_83c497bf575e42de84a5af6d7ddce746~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged. "
DIXIE BROWN LEOPARD,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€55.00,https://www.consciousthelabel.com/product-page/dixie-brown-leopard,"https://static.wixstatic.com/media/6733fb_70552b1e50c340d5bc5b531418d0aee8~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_70552b1e50c340d5bc5b531418d0aee8~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model wears a size small "
KAYA TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/kaya-brown,"https://static.wixstatic.com/media/6733fb_e12965c06a7b4482aa7248e83c610116~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_e12965c06a7b4482aa7248e83c610116~mv2.jpg",conscious-swimwear,"Kaya bikini top is the next level of basics. Great for the one who needs a very natural push-up effect.  Adjustable back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
OLLIE TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large']",€65.00,https://www.consciousthelabel.com/product-page/ollie-brown,"https://static.wixstatic.com/media/6733fb_ac22d3b4564346da87a5aa2cf1985c10~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_ac22d3b4564346da87a5aa2cf1985c10~mv2.jpg",conscious-swimwear,"Ollie is our newest addiction. It works perfectly for small and more significant breasts: for small, use it with our padding and have an additional push-up. If you have it bigger, enjoy the extra support from the elastic underneath and the natural lifting effect. This top has adjustable straps and includes removable padding. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
ZOE TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium', 'Large']",€59.00,https://www.consciousthelabel.com/product-page/zoe-brown,"https://static.wixstatic.com/media/6733fb_fa0606529a2e46e4b12a33a460255768~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_fa0606529a2e46e4b12a33a460255768~mv2.jpg",conscious-swimwear,"Zoe bikini top has the perfect high cut – your best friend if you’re looking for something practical with support. With adjustable straps, you will be able to fit it perfectly into your body. Made of 78% recycled plastic and 22% elastane and ethically produced in our Lisbon atelier. Sustainable packaged.   "
TRIANGLE TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small (PRE-ORDER ships between 21-25 May)', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large']",€55.00,https://www.consciousthelabel.com/product-page/triangle-brown,"https://static.wixstatic.com/media/6733fb_da7b1cada2b84ddf9026ff2a7c1ed7aa~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_da7b1cada2b84ddf9026ff2a7c1ed7aa~mv2.jpg",conscious-swimwear,"Triangle bikini top is your go-to essential for summer. It works great for every body type, and its minimalist shape is a tan best friend. Adjustable straps & back, and you can also wear it tied up behind your neck. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
NALA TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium', 'Large (PRE-ORDER ships between 21-25 May)']",€49.00,https://www.consciousthelabel.com/product-page/nala-brown,"https://static.wixstatic.com/media/6733fb_3f04a06ea2b7485986f4e3b93669e8c1~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_3f04a06ea2b7485986f4e3b93669e8c1~mv2.jpg",conscious-swimwear,Nala bikini bottom is the perfect tan friend with its minimalist shape. Adjustable waist. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model wears a size small 
NOAH TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large']",€52.00,https://www.consciousthelabel.com/product-page/noah-brown,"https://static.wixstatic.com/media/6733fb_98b0096348604373bd808d9be117e34c~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_98b0096348604373bd808d9be117e34c~mv2.jpg",conscious-swimwear,"Perfectly designed to fit your body like no other, our Noah bottoms have a classic inspired Brazilian minimalist shape. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size smallModel 2 wears a size medium "
SAINT TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,[],€55.00,https://www.consciousthelabel.com/product-page/saint-brown,"https://static.wixstatic.com/media/6733fb_66389b2e03d348f183fe3a5b663d958d~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_66389b2e03d348f183fe3a5b663d958d~mv2.jpg",conscious-swimwear,"Saint bikini bottom is for the ones who love the elegance of a high waist but don't want to give up on a cute little back as well. For perfect belly tanning, you can fold them when lying down at the beach. Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.   "
DIXIE TIMELESS BROWN,"['78% recycled plastic', '22% elastane']",,"['Small', 'Medium (PRE-ORDER ships between 21-25 May)', 'Large (PRE-ORDER ships between 21-25 May)']",€55.00,https://www.consciousthelabel.com/product-page/dixie-brown,"https://static.wixstatic.com/media/6733fb_2ac233ddb3d64c5bb3261107a96f9922~mv2.jpg/v1/fill/w_1500,h_1018,al_c,q_85/6733fb_2ac233ddb3d64c5bb3261107a96f9922~mv2.jpg",conscious-swimwear,"Dixie is our classic shape bikini bottom, offering a little extra coverage compared to our other bottoms. All edges are sewn with elastic to keep it in the right place from sunrise to sunset.  Made of 78% recycled plastic and 22% elastane. Ethically produced in our Lisbon atelier and sustainable packaged.Model 1 wears a size medium "
