material_id,backend_higg,,,,,,,,
met_iron_74,Iron,iron,,,,,,,
met_lead_75,Lead,lead,,,,,,,
met_nick_76,Nickel,nickel,,,,,,,
met_plat_77,Platinum,platinum,,,,,,,
met_silv_78,Silver,silver,\sag\s,,,,,,
met_stee_79,Steel,steel,,,,,,,
met_tin_80,Tin,\btin\b,,,,,,,
met_tita_81,Titanium,titanium,,,,,,,
met_zinc_82,Zinc,zinc,,,,,,,
rub_buty_83,Butyl rubber,butyl rubber,,,,,,,
rub_chlo_84,Chloroprene rubber (Neoprene),chloroprene\srubber ?\(?n?e?o?p?r?e?n?e?\)?,,,,,,,
eth_ethy_85,Ethylene Propylene Diene Elastomer (EPDM),ethylene propylene diene elastomer ?\(?e?p?d?m?\)?,,,,,,,
rub_foam_86,Foamed rubber,foamed rubber,,,,,,,
rub_isop_87,Isoprene Rubber (IR),isoprene rubber \(?i?r?\)?,isoprene,,,,,,
rub_natu_88,Natural Rubber (NR),natural rubber ?\(?n?r?\)?,,,,,,,
rub_nitr_89,Nitrile Rubber (NBR),nitrile rubber ?\(?n?b?r?\)?,,,,,,,
rub_poly_90,Polybutadiene rubber (BR),polybutadiene rubber ?\(?b?r?\)?,,,,,,,
rub_sili_91,Silicone rubber,silicone rubber,,,,,,,
rub_styr_92,Styrene-butadiene rubber (SBR),styrene-\s?butadiene rubber ?\(?s?b?r?\)?,styrene butadiene,styrene-? ?butadiene rubber ?\(?sbr\)?,,,,,
rub_ther_93,Thermoplastic elastomer (TPE),thermoplastic elastomer ?\(?t?p?e?\)?,,,,,,,
rub_ther_94,Thermoplastic polyurethane (TPU) rubber,thermoplastic polyurethane ?\(?t?p?u?\)? ?(rubber)?,,,,,,,
rub_ther_95,Thermoset polyurethane (PU) rubber,thermoset polyurethane ?\(?p?u?\)? ?(rubber)?,,,,,,,
rub_typi_96,Typical footwear rubber compound,typical footwear rubber ?(compound)?,vulcanized rubber,typical footwear rubber compound,rubber,,,,
coa_bico_97,BiComponent Coating,bicomponent coating,,,,,,,
coa_bico_98,BiComponent Laminate,bicomponent laminate,,,,,,,
coa_micr_99,Microporous Coating,microporous coating,,,,,,,
coa_micr_100,Microporous Laminate,microporous laminate,,,,,,,
coa_mono_101,Monolithic Coating,monolithic coating,,,,,,,
coa_mono_102,Monolithic Laminate,monolithic laminate,,,,,,,
woo_card_103,Cardboard,cardboard,,,,,,,
woo_card_104,"Cardboard, recycled","cardboard ?-?,?\s?recycled","recycled,? ?-?cardboard",,,,,,
woo_cork_105,Cork,cork,,,,,,,
woo_pape_106,Paper,paper,,,,,,,
woo_pape_107,"Paper, recycled","recycled,? ?-?paper","paper,? ?-?recycled",,,,,,
woo_wood_108,Wood,wood,,,,,,,
ins_duck_109,Duck Down insulation,duck down ?i?n?s?u?l?a?t?i?o?n?,white\sduck,grey\sduck,down,,,,
ins_duck_110,"Duck down, recycled","recycled,? ?-?duck down","duck down,? ?-?recycled",,,,,,
ins_goos_111,Goose Down insulation,goose down insulation,,,,,,,
ins_goos_112,"Goose down, recycled","recycled,? ?-?goose down","goose down,? ?-?recycled",,,,,,
ins_poly_113,Polyester insulation,polyester insulation,,,,,,,
ins_poly_114,"Polyethylene terephthalate (PET), chemically (methanolysis) recycled, for insulation",polyethylene terephthalate ?\(?p?e?t?\)?,"polyethylene terephthalate \(?p?e?t?\)?,? ?chemically \(?m?e?t?h?a?n?o?l?y?s?i?s?\)? recycled, for insulation",,,,,,
ins_shee_115,Sheep Wool insulation,sheep wool insulation,,,,,,,
ins_shee_116,"Sheep Wool insulation, recycled","sheep wool insulation,? ?-?recycled","receycled,? ?-?sheep wool insulation",,,,,,
foa_ethy_117,Ethylene-vinyl acetate (EVA) foam,ethylene-? ?vinyl acetate ?\(?e?v?a?\)? ?(foam)?,ethylene\s?vinyl\s?acetate,,,,,,
"foa_0,et_118","0,Ethylene-vinyl acetate (EVA) foam, recycled","ethylene-? ?vinyl acetate ?\(?e?v?a?\)? foam,? ?recycled","recycled,? ?-?ethylene-? ?vinyl acetate ?\(?e?v?a?\)?",,,,,,
foa_poly_119,Polyethylene (PE) foam,polyethylene ?\(?p?e?\)? ?foam,,,,,,,
foa_poly_120,Polyurethane (PU) foam,polyurethane ?\(?p?u?\)? ?foam,,,,,,,
foa_typi_121,Typical EVA shoe compound,typical eva shoe compound,,,,,,,
syn_poly_122,Polyurethane (PU) synthetic leather,polyurethane ?\(?p?u?\)? ?synthetic leather,synthetic leather,,,,,,
mis_glas_123,Glass fiber fabric,glass,"glass\s?-?fiber\s?-?,?fabric",,,,,,
cer_flax_124,"Flax Fiber {Bast Fiber Tech}, Belgium","flax fiber ?\{bast fiber tech\}, ?belgium",blast fiber tech flax,,,,,,
mis_poly_125,"Polyethylene terephthalate (PET) {Toray}, partially bio-based","polyethylene\sterephthalate\s?\(pet\)\s?\{toray\},\s?partially\sbio-based",partially\sbio-based\spet\s?\(toray\)\s?polyethylene\sterephthalate,,,,,,
new_natu_128,Natural Rubber (Latex),latex,natural rubber\s?\(?latex\)?,,,,,,
